batch,discrim_loss
0,2.63806366920471
1,8.37651443481445
2,2.50354814529419
3,2.43924450874329
4,7.16794157028198
5,1.30385456031945E-06
6,15.7630081176758
7,32.8780517578125
8,28.2721710205078
9,18.75
10,21.875
11,28.125
12,18.75
13,21.875
14,25
15,18.75
16,25
17,25
18,28.125
19,34.375
20,21.875
21,28.125
22,18.75
23,28.125
24,31.25
25,18.75
26,25
27,21.875
28,25
29,21.875
30,18.75
31,18.75
32,28.125
33,21.8750114440918
34,22.104959487915
35,18.7517242431641
36,27.2965259552002
37,28.8691463470459
38,19.533031463623
39,18.7628440856934
40,28.541654586792
41,9.375
42,43.75
43,25
44,12.5
45,12.5
46,18.75
47,43.75
48,31.25
49,21.875
50,25
51,37.5
52,28.125
53,21.875
54,21.875
55,31.25
56,28.125
57,18.75
58,34.375
59,25
60,18.75
61,31.25
62,31.25
63,25
64,28.125
65,28.125
66,28.125
67,31.25
68,37.5
69,34.375
70,34.375
71,25
72,28.125
73,15.625
74,21.875
75,25
76,25
77,9.375
78,18.75
79,25
80,9.375
81,25
82,18.75
83,31.25
84,18.75
85,18.75
86,18.75
87,21.875
88,25
89,25
90,25
91,25
92,25
93,25
94,28.125
95,15.625
96,25
97,34.375
98,21.875
99,28.125
100,31.25
101,31.25
102,37.5
103,15.625
104,40.625
105,28.125
106,18.75
107,28.125
108,34.375
109,37.5
110,28.125
111,31.25
112,18.75
113,25
114,6.25
115,21.875
116,28.125
117,28.125
118,28.125
119,21.875
120,46.875
121,12.5
122,18.75
123,37.5
124,18.75
125,34.375
126,25
127,28.125
128,34.375
129,21.875
130,34.375
131,18.75
132,34.375
133,15.625
134,34.375
135,28.125
136,21.875
137,25
138,21.875
139,34.375
140,18.75
141,31.25
142,28.125
143,34.375
144,21.875
145,40.625
146,25
147,31.25
148,15.625
149,28.125
150,21.875
151,31.25
152,28.125
153,25
154,18.75
155,34.375
156,15.625
157,18.75
158,21.875
159,46.875
160,15.625
161,21.875
162,18.75
163,28.125
164,25
165,21.875
166,18.75
167,28.125
168,31.25
169,34.375
170,28.125
171,12.5
172,18.75
173,21.875
174,31.25
175,21.875
176,21.875
177,25
178,25
179,25
180,34.375
181,9.375
182,15.625
183,31.25
184,25
185,15.625
186,31.25
187,28.125
188,15.625
189,18.75
190,28.125
191,9.375
192,31.25
193,28.125
194,21.875
195,15.625
196,6.25
197,21.875
198,31.25
199,31.25
200,21.875
201,25
202,25
203,25
204,15.625
205,12.5
206,15.625
207,15.625
208,21.875
209,28.125
210,21.875
211,12.5
212,12.5
213,6.25
214,28.125
215,18.75
216,34.375
217,25
218,18.75
219,15.625
220,15.625
221,46.875
222,15.625
223,25
224,28.125
225,37.5
226,28.125
227,12.5
228,25
229,31.25
230,15.625
231,18.75
232,28.125
233,31.25
234,28.125
235,25
236,28.125
237,21.875
238,15.625
239,34.375
240,28.125
241,37.5
242,21.875
243,21.875
244,21.875
245,31.25
246,28.125
247,40.625
248,15.625
249,18.75
250,18.75
251,28.125
252,18.75
253,34.375
254,37.5
255,31.25
256,31.25
257,40.625
258,18.75
259,12.5
260,34.375
261,9.375
262,15.625
263,28.125
264,25
265,34.375
266,28.125
267,18.75
268,18.75
269,21.875
270,21.875
271,18.75
272,31.25
273,25
274,31.25
275,21.875
276,21.875
277,21.875
278,21.875
279,25
280,40.625
281,21.875
282,37.5
283,28.125
284,18.75
285,28.125
286,31.25
287,25
288,25
289,15.625
290,9.375
291,31.25
292,28.125
293,21.875
294,15.625
295,28.125
296,21.875
297,21.875
298,25
299,15.625
300,34.375
301,28.125
302,31.25
303,25
304,18.75
305,25
306,28.125
307,18.75
308,25
309,15.625
310,37.5
311,40.625
312,12.5
313,31.25
314,31.25
315,21.875
316,15.625
317,15.625
318,9.375
319,40.625
320,25
321,31.25
322,31.25
323,25
324,18.75
325,28.125
326,25
327,21.875
328,28.125
329,21.875
330,18.75
331,18.75
332,28.125
333,21.875
334,28.125
335,31.25
336,18.75
337,15.625
338,18.75
339,21.875
340,37.5
341,34.375
342,31.25
343,28.125
344,18.75
345,18.75
346,25
347,37.5
348,28.125
349,21.875
350,25
351,31.25
352,25
353,21.875
354,9.375
355,28.125
356,28.125
357,37.5
358,37.5
359,34.375
360,28.125
361,9.375
362,37.5
363,28.125
364,25
365,21.875
366,15.625
367,31.25
368,18.75
369,34.375
370,25
371,12.5
372,21.875
373,25
374,28.125
375,21.875
376,18.75
377,21.875
378,15.625
379,21.875
380,25
381,28.125
382,25
383,18.75
384,25
385,28.125
386,21.875
387,28.125
388,21.875
389,12.5
390,31.25
391,12.5
392,28.125
393,21.875
394,18.75
395,21.875
396,31.25
397,28.125
398,25
399,18.75
400,25
401,34.375
402,12.5
403,34.375
404,21.875
405,25
406,6.25
407,28.125
408,18.75
409,9.375
410,46.875
411,9.375
412,18.75
413,21.875
414,18.75
415,28.125
416,21.875
417,18.75
418,25
419,25
420,25
421,18.75
422,15.625
423,25
424,21.875
425,12.5
426,12.5
427,9.375
428,18.75
429,25
430,31.25
431,21.875
432,34.375
433,40.625
434,31.25
435,37.5
436,18.75
437,25
438,15.625
439,21.875
440,25
441,34.375
442,18.75
443,21.875
444,40.625
445,31.25
446,25
447,25
448,34.375
449,18.75
450,34.375
451,28.125
452,15.625
453,21.875
454,37.5
455,15.625
456,28.125
457,37.5
458,12.5
459,25
460,18.75
461,25
462,18.75
463,15.625
464,31.25
465,31.25
466,9.375
467,15.625
468,34.375
469,28.125
470,31.25
471,18.75
472,25
473,34.375
474,9.375
475,37.5
476,21.875
477,21.875
478,28.125
479,34.375
480,25
481,21.875
482,9.375
483,28.125
484,21.875
485,18.75
486,25
487,25
488,28.125
489,28.125
490,12.5
491,31.25
492,18.75
493,31.25
494,12.5
495,15.625
496,34.375
497,15.625
498,28.125
499,18.75
500,28.125
501,28.125
502,25
503,31.25
504,37.5
505,28.125
506,28.125
507,34.375
508,34.375
509,25
510,21.875
511,37.5
512,34.375
513,37.5
514,28.125
515,40.625
516,25
517,18.75
518,15.625
519,21.875
520,28.125
521,28.125
522,37.5
523,34.375
524,25
525,15.625
526,12.5
527,15.625
528,18.75
529,34.375
530,25
531,25
532,28.125
533,31.25
534,21.875
535,28.125
536,21.875
537,18.75
538,18.75
539,21.875
540,31.25
541,21.875
542,25
543,34.375
544,28.125
545,18.75
546,28.125
547,21.875
548,21.875
549,18.75
550,28.125
551,21.875
552,15.625
553,31.25
554,25
555,18.75
556,18.75
557,25
558,34.375
559,21.875
560,28.125
561,21.875
562,28.125
563,18.75
564,12.5
565,15.625
566,21.875
567,18.75
568,21.875
569,28.125
570,28.125
571,31.25
572,37.5
573,37.5
574,28.125
575,21.875
576,25
577,28.125
578,25
579,25
580,18.75
581,34.375
582,21.875
583,21.875
584,15.625
585,25
586,18.75
587,18.75
588,12.5
589,25
590,9.375
591,15.625
592,28.125
593,28.125
594,12.5
595,21.875
596,28.125
597,40.625
598,28.125
599,12.5
600,31.25
601,25
602,28.125
603,15.625
604,18.75
605,25
606,21.875
607,12.5
608,25
609,31.25
610,28.125
611,28.125
612,25
613,21.875
614,25
615,12.5
616,18.75
617,31.25
618,31.25
619,31.25
620,31.25
621,18.75
622,37.5
623,12.5
624,28.125
625,25
626,25
627,21.875
628,28.125
629,37.5
630,18.75
631,15.625
632,34.375
633,28.125
634,31.25
635,25
636,25
637,21.875
638,25
639,28.125
640,15.625
641,31.25
642,25
643,34.375
644,37.5
645,34.375
646,15.625
647,25
648,28.125
649,40.625
650,31.25
651,21.875
652,18.75
653,21.875
654,34.375
655,21.875
656,31.25
657,31.25
658,15.625
