batch,discrim_loss
0,2.09131693840027
1,7.16339826583862
2,4.97533416748047
3,10.0839061737061
4,6.18714094161987
5,42.4683074951172
6,32.9715881347656
7,35.6618118286133
8,35.9835815429687
9,33.4321022033691
10,37.2729034423828
11,33.2909240722656
12,37.4096908569336
13,48.3651504516602
14,41.7530746459961
15,45.2416229248047
16,40.2035598754883
17,16.9929389953613
18,26.0817623138428
19,20
20,26.0104522705078
21,30.000020980835
22,18.0000019073486
23,22.0000038146973
24,42
25,22.1777229309082
26,30.0001468658447
27,24.0010414123535
28,20.0010948181152
29,18.0010070800781
30,32.0001754760742
31,28.0000495910645
32,24.0004806518555
33,32.0001335144043
34,26.0000419616699
35,26.0000667572021
36,20.0000114440918
37,22.0000038146973
38,20.0000019073486
39,27.8022727966309
40,18.6218528747559
41,39.1846504211426
42,40.8575592041016
43,34.3858604431152
44,57.6473770141602
45,30.7558326721191
46,47.8953857421875
47,35.0235290527344
48,32.1479721069336
49,42.0985717773438
50,34.3208045959473
51,44.6107940673828
52,30.3565864562988
53,22.6208171844482
54,40.1177978515625
55,22
56,12
57,26
58,18.0785617828369
59,32.000057220459
60,22.6189403533936
61,18
62,24
63,30
64,24
65,20
66,26
67,32.0076789855957
68,26.005859375
69,24.5924606323242
70,32
71,18.0000057220459
72,20.0000915527344
73,24.0268802642822
74,53.8984680175781
75,29.0443801879883
76,16.0000343322754
77,24.0000667572021
78,20.0008907318115
79,22.2515621185303
80,20.8172569274902
81,16
82,32
83,30
84,28
85,24
86,20
87,36
88,20
89,30
90,28
91,20
92,30
93,26
94,44
95,30
96,26
97,30
98,26
99,22
100,34
101,20
102,34
103,26
104,20
105,24
106,12
107,24
108,34
109,22
110,28
111,20
112,30
113,28
114,26
115,24
116,22
117,26
118,34
119,32
120,28
121,24
122,28
123,16
124,20
125,22
126,26
127,8
128,22
129,22
130,30
131,28
132,28
133,30
134,30
135,28
136,40
137,36
138,24
139,28
140,30
141,26
142,18
143,28
144,12
145,14
146,26
147,22
148,22
149,26
150,26
151,30
152,16
153,18
154,20
155,30
156,24
157,34
158,28
159,20
160,22
161,30
162,16
163,28
164,32
165,34
166,30
167,22
168,22
169,32
170,22
171,24
172,40
173,22
174,20
175,30
176,32
177,26
178,16
179,26
180,28
181,20
182,22
183,18
184,8
185,24
186,26
187,28
188,28
189,18
190,30
191,22
192,20
193,18
194,24
195,22
196,32
197,22
198,26
199,16
200,24
201,26
202,32
203,34
204,26
205,32
206,18
207,26
208,30
209,32
210,20
211,12
212,20
213,20
214,24
215,22
216,32
217,22
218,18
219,20
220,24
221,30
222,24
223,24
224,20
225,20
226,24
227,20
228,20
229,20
230,30
231,36
232,24
233,32
234,24
235,30
236,40
237,20
238,28
239,30
240,34
241,30
242,30
243,24
244,22
245,20
246,26
247,22
248,22
249,14
250,24
251,20
252,24
253,18
254,26
255,26
256,22
257,20
258,16
259,14
260,30
261,28
262,22
263,18
264,24
265,26
266,32
267,20
268,24
269,26
270,30
271,12
272,18
273,24
274,38
275,28
276,24
277,24
278,28
279,22
280,14
281,32
282,18
283,20
284,26
285,22
286,22
287,28
288,28
289,30
290,26
291,26
292,22
293,22
294,28
295,22
296,22
297,26
298,28
299,16
300,24
301,26
302,22
303,20
304,24
305,32
306,18
307,36
308,14
309,24
310,22
311,14
312,22
313,28
314,16
315,24
316,24
317,26
318,28
319,18
320,20
321,22
322,26
323,28
324,20
325,24
326,14
327,18
328,34
329,38
330,26
331,22
332,20
333,20
334,22
335,20
336,22
337,30
338,8
339,36
340,10
341,20
342,30
343,30
344,22
345,20
346,32
347,20
348,32
349,28
350,22
351,28
352,28
353,26
354,16
355,26
356,36
357,28
358,30
359,20
360,20
361,32
362,18
363,26
364,30
365,32
366,38
367,26
368,22
369,24
370,24
371,12
372,30
373,24
374,16
375,22
376,22
377,28
378,32
379,16
380,38
381,22
382,36
383,26
384,24
385,26
386,20
387,18
388,24
389,20
390,18
391,18
392,24
393,22
394,30
395,24
396,28
397,36
398,34
399,22
400,24
401,24
402,22
403,20
404,22
405,20
406,16
407,16
408,28
409,18
410,16
411,18
412,30
413,24
414,32
415,24
416,24
417,18
418,26
419,30
420,30
421,22
422,34
423,26
424,20
425,20
426,14
427,18
428,26
429,20
430,24
431,24
432,24
433,14
434,20
435,28
436,32
437,20
438,34
439,36
440,28
441,20
442,32
443,22
444,34
445,22
446,26
447,16
448,34
449,18
450,28
451,16
452,26
453,14
454,28
455,32
456,26
457,26
458,34
459,26
460,30
461,30
462,12
463,22
464,36
465,40
466,18
467,26
468,22
469,28
470,24
471,28
472,20
473,22
474,34
475,14
476,24
477,28
478,22
479,16
480,16
481,20
482,26
483,20
484,16
485,20
486,18
487,16
488,32
489,24
490,18
491,24
492,22
493,34
494,26
495,18
496,18
497,24
498,26
499,26
500,22
501,22
502,36
503,22
504,26
505,20
506,24
507,22
508,14
509,34
510,22
511,22
512,20
513,26
514,26
515,22
516,22
517,22
518,20
519,26
520,32
521,26
522,28
523,26
524,24
525,14
526,32
527,28
528,34
529,24
530,26
